ensaio_id,razao_molar_eta,C_acid_0_mol_L,C_acid_0_g_L,razao_SL_g_L,massa_solido_g,volume_solucao_L,temperatura_C,agitacao_rpm,tempo_min,tempo_s,X_zn_exp,X_zn_final,X_fe_final,C_acid_final_mol_L,pH_final,X_pbm,C_acid_pbm_mol_L,delta_X
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,2.0,120.0,0.8,0.87,0.06,0.008,2.0,0.7237422856719549,0.027625771432804515,0.07625771432804518
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,3.0,180.0,0.85,0.87,0.06,0.008,2.0,0.7973835764282107,0.020261642357178936,0.052616423571789306
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,4.0,240.0,0.87,0.87,0.06,0.008,2.0,0.8400746479629075,0.015992535203709246,0.029925352037092456
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,5.0,300.0,0.85,0.87,0.06,0.008,2.0,0.8679348668094485,0.013206513319055146,-0.017934866809448557
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,15.0,900.0,0.87,0.87,0.06,0.008,2.0,0.9519271355239578,0.00480728644760422,-0.0819271355239578
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,0.0,0.0,0.0,1.01,0.09,0.32,0.5,0.0,0.5,0.0
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,0.5,30.0,0.88,1.01,0.09,0.32,0.5,0.9242152761150949,0.35093301998143633,-0.044215276115094904
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,1.0,60.0,0.93,1.01,0.09,0.32,0.5,0.9922610804392368,0.339957890251736,-0.06226108043923673
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,2.0,120.0,0.98,1.01,0.09,0.32,0.5,0.999917803269228,0.3387229349565761,-0.019917803269227985
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,3.0,180.0,0.99,1.01,0.09,0.32,0.5,0.9999991563554234,0.3387098134910608,-0.009999156355423366
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,4.0,240.0,1.0,1.01,0.09,0.32,0.5,0.9999999915757172,0.33870967877811015,8.424282826879903e-09
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,5.0,300.0,0.99,1.01,0.09,0.32,0.5,0.9999999999176821,0.3387096774326319,-0.009999999917682079
7,3.1,0.5,49.04,17.0,6.7,0.4,40.0,1000.0,15.0,900.0,1.01,1.01,0.09,0.32,0.5,1.0,0.33870967741935487,0.010000000000000009
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.87,0.05,0.056,1.2,0.0,0.5,0.0
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,0.5,30.0,0.83,0.87,0.05,0.056,1.2,0.7662081879166354,0.11689590604168232,0.0637918120833646
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,1.0,60.0,0.82,0.87,0.05,0.056,1.2,0.8679324080680038,0.06603379596599812,-0.04793240806800381
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,2.0,120.0,0.85,0.87,0.05,0.056,1.2,0.9294795778703159,0.03526021106484206,-0.0794795778703159
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,3.0,180.0,0.86,0.87,0.05,0.056,1.2,0.9519278921829953,0.02403605390850233,-0.09192789218299535
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,4.0,240.0,0.87,0.87,0.05,0.056,1.2,0.9635466369047916,0.018226681547604207,-0.09354663690479159
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,5.0,300.0,0.86,0.87,0.05,0.056,1.2,0.970646523463658,0.014676738268171008,-0.110646523463658
8,1.0,0.5,49.04,50.0,20.0,0.4,40.0,1000.0,15.0,900.0,0.87,0.87,0.05,0.056,1.2,0.9900590736010647,0.004970463199467645,-0.12005907360106471
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.85,0.06,0.12,0.9,0.0,1.0,0.0
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,0.5,30.0,0.83,0.85,0.06,0.12,0.9,0.8679345010190512,0.13206549898094877,-0.03793450101905127
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,1.0,60.0,0.84,0.85,0.06,0.12,0.9,0.9294794039273802,0.07052059607261985,-0.08947940392738019
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,2.0,120.0,0.85,0.85,0.06,0.12,0.9,0.9635458570609025,0.036454142939097545,-0.11354585706090248
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,3.0,180.0,0.85,0.85,0.06,0.12,0.9,0.9754350248176216,0.024564975182378435,-0.1254350248176216
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,4.0,240.0,0.83,0.85,0.06,0.12,0.9,0.9814814326023944,0.0185185673976056,-0.15148143260239444
